uuid,qid,difficulty,stem,options,gold,haiku_selected,haiku_confidence,haiku_correct,haiku_reasoning,sonnet_selected,sonnet_confidence,sonnet_correct,sonnet_reasoning,b2_severity
f66bcd46-24bc-45ec-8203-042729aa532b,WB-GRP-0223-L2,2,Which of the following light-skinned grape varieties is predominantly cultivated within the Treviso province of northeastern Italy's Veneto region?,"A. Durella
B. Verdiso
C. Garganega
D. Vespaiola",B,A,0.72,False,"Durella is a light-skinned grape variety specifically associated with the Treviso province in Veneto, particularly used in Colli di Conegliano wines, while the other varieties are either more broadly distributed (Garganega) or associated with different regions (Verdiso, Vespaiola).",B,0.75,True,"Verdiso is a white grape variety native to the Treviso province in the Veneto region, historically used in Prosecco blends and associated with the Conegliano-Valdobbiadene area within Treviso, while Garganega is centered in Soave (Verona), Durella in the Lessini hills, and Vespaiola in Breganze (Vicenza).",warn
4db5db8e-369d-41d9-a4fa-4e2eb90d2a91,WB-WMK-0202-L2,2,Which wine region requires a minimum alcohol content between 11% and 12%?,"A. Bouvier
B. Kamptal
C. Schilcherland DAC
D. Wachau",C,C,0.72,True,"Schilcherland DAC in Austria is known for Schilcher rosé wines with specific minimum alcohol requirements in the 11-12% range, while Wachau typically requires higher minimums (12%+) and the others are less commonly associated with this specific range.",C,0.45,True,"Schilcherland DAC, known for its Schilcher rosé wines from Blauer Wildbacher grapes in Styria, has specific regulatory requirements that include minimum alcohol levels in the 11-12% range, distinguishing it from other Austrian DAC regions.",pass
379b2a8b-ae5d-4d56-8f32-156c9c2f15e8,WB-WMK-0206-L2,2,"One of these appellations is defined by three release styles—fully sparkling, lightly sparkling, and still—while the other is identified by a rule requiring at least 12.5% alcohol and a minimum of one year before release. Which pairing matches those classification details correctly?","A. Both appellations are defined by three styles only
B. Both appellations require at least 12.5% alcohol and one year of aging
C. Prosecco DOC = at least 12.5% alcohol and one year of aging; Valpolicella Ripasso DOC Superiore = three styles
D. Prosecco DOC = three styles; Valpolicella Ripasso DOC Superiore = at least 12.5% alcohol and one year of aging",D,D,0.75,True,"Prosecco DOC is known for its three carbonation styles (fully sparkling/spumante, lightly sparkling/frizzante, and still/tranquillo), while Valpolicella Ripasso requires minimum 12.5% alcohol and one year aging before release.",D,0.72,True,"Prosecco DOC is produced in spumante (fully sparkling), frizzante (lightly sparkling), and tranquillo (still) styles, while Valpolicella Ripasso DOC Superiore designation requires a minimum alcohol level (typically 12.5%) and a minimum aging period before release.",warn
a5ad7dda-79cb-4aaf-99b5-a51fc0ccdc16,WB-WMK-0209-L2,2,A central Italian DOCG requires that its 'Classico' designated wines cannot be released to market before 1 October of the year following the harvest. Which appellation imposes this specific aging/release rule?,"A. Montepulciano d'Abruzzo
B. Valpolicella
C. Chianti
D. Soave",C,C,0.75,True,"Chianti Classico has specific aging requirements and release dates tied to the vintage year, with October 1st being a notable regulatory date for release of certain Chianti designations.",C,0.72,True,"Chianti DOCG (central Italy, Tuscany) has specific release date requirements for its Classico designation, with Chianti Classico requiring wines to be held until October 1 of the year following harvest before release to market.",warn
2d262e16-3fae-47df-908c-d1aad03df7e2,WB-GRP-0247-L2,2,"When comparing the authorized viticultural plantings of two distinct American regions, which pair of grapes correctly represents a variety approved for cultivation within Sonoita's boundaries and one allowed throughout the Indiana Uplands region, respectively?","A. Cabernet Franc and Traminette
B. Cabernet Sauvignon and Vidal Blanc
C. Merlot and Chambourcin
D. Traminette and Cabernet Franc",A,A,0.35,True,"Sonoita is an Arizona AVA known for cooler-climate varieties like Cabernet Franc, and Indiana Uplands is known for cold-hardy hybrids like Traminette, though I have low confidence in the specific authorized plantings for these regions.",A,0.55,True,"Sonoita AVA in Arizona is known for Vinifera varieties including Cabernet Franc, while Indiana Uplands is associated with hybrid varieties like Traminette, making option A (Cabernet Franc for Sonoita, Traminette for Indiana Uplands) the most plausible pairing, though the question's framing about 'authorized viticultural plantings' suggests specific regulatory lists I'm not fully certain about.",pass
10607bb0-2a21-49ff-bbf9-ec55295fc5d0,WB-WMK-0207-L2,2,"One of these appellations must spend at least 24 months on its lees, while the other cannot be released as Riserva until a minimum of 4 years counted from January 1 after harvest. Which option matches those two aging rules correctly?","A. Both Franciacorta Satèn and Amarone della Valpolicella Riserva require at least 24 months on lees
B. Both Franciacorta Satèn and Amarone della Valpolicella Riserva require at least 4 years from January 1 after harvest
C. Franciacorta Satèn = 24 months on lees; Amarone della Valpolicella Riserva = 4 years from January 1 after harvest
D. Franciacorta Satèn = 4 years from January 1 after harvest; Amarone della Valpolicella Riserva = 24 months on lees",C,C,0.85,True,"Franciacorta Satèn (a sparkling wine) requires 24 months on lees as a standard requirement for the appellation, while Amarone della Valpolicella Riserva requires a minimum of 4 years aging counted from January 1 of the year following harvest.",C,0.85,True,"Franciacorta Satèn (a blanc de blancs style) requires a minimum of 24 months on lees per DOCG regulations, while Amarone della Valpolicella Riserva requires a minimum of 4 years of aging counted from January 1 following the harvest year.",warn
827ab27c-46ac-4978-aa8d-7ba016330219,WB-VIT-0202-L2,2,Which AVA has a climate that is cooler in the summer and warmer in the winter compared to regions to the east?,"A. San Pasqual Valley AVA
B. Dos Rios AVA
C. Yucaipa Valley AVA
D. Temecula Valley AVA",B,A,0.6,False,"San Pasqual Valley AVA in San Diego County benefits from coastal marine influence that moderates temperatures year-round, creating cooler summers and warmer winters compared to inland eastern regions.",A,0.55,False,"San Pasqual Valley AVA, located near San Diego, is influenced by marine/coastal air that moderates temperatures — cooler summers and warmer winters compared to inland desert regions to the east, a classic coastal Mediterranean moderation pattern.",pass
0e125808-71e4-4313-966d-0dcf206f968c,WB-GRP-0248-L2,2,"When mapping the approved cultivation of Albariño and Carignane to their respective viticultural areas, which of the following accurately describes their authorization?","A. Albariño is an approved cultivar for San Luis Rey AVA, while Carignane is authorized in Carmel Valley AVA.
B. Carignane is an approved cultivar for San Luis Rey AVA, while Albariño is authorized in Carmel Valley AVA.
C. Carignane is an approved cultivar for both appellations, while Albariño is restricted in both.
D. Albariño is an approved cultivar for both appellations, while Carignane is restricted in both.",A,A,0.35,True,"San Luis Rey AVA is a Spanish-influenced region where Albariño would be more typical, while Carignane (Carignan) is a Rhône variety more associated with California coastal areas like Carmel Valley, though I have low confidence in the specific AVA authorizations.",A,0.25,True,"This question involves very specific TTB-approved cultivar lists for niche California AVAs (San Luis Rey and Carmel Valley), which is highly specialized regulatory knowledge; I'm guessing A as Albariño has growing presence in coastal California regions, but my confidence is very low.",pass
d9499398-0533-4deb-9864-5933a73da597,WB-VIT-0212-L2,2,"This Washington State AVA sits on elevated plateaus that overlook the Columbia River, positioned roughly 10 miles north of the Tri-Cities area within Franklin County. Which AVA fits this description?","A. White Bluffs AVA
B. Wahluke Slope AVA
C. Royal Slope AVA
D. Rocky Reach AVA",A,B,0.72,False,"Wahluke Slope is a well-known Washington AVA in Franklin County north of the Tri-Cities area characterized by elevated plateau terrain overlooking the Columbia River, matching all the geographic descriptors provided.",A,0.55,True,"White Bluffs AVA is a relatively new Washington State AVA located in Franklin County on elevated plateaus north of the Tri-Cities area overlooking the Columbia River, matching the geographic description provided.",warn
ca3fce2e-3c91-4391-979f-f06218f065c7,WB-REG-0180-L1,1,"A buyer is routing a shipment of Diamond Mountain District AVA wine. Based on the fact, which US state is the origin?","A. Oregon
B. California
C. Arizona
D. Colorado",B,B,0.95,True,"Diamond Mountain District is a well-known AVA located in Napa County, California, primarily known for Cabernet Sauvignon production.",B,0.99,True,"Diamond Mountain District is an AVA located in Napa Valley, California, known for its volcanic soils and Cabernet Sauvignon production.",fail
