uuid,qid,difficulty,stem,gold,haiku_answer,haiku_confidence,haiku_reasoning,matched,similarity,ok,latency_ms,input_tokens,output_tokens,error,b2_severity
f66bcd46-24bc-45ec-8203-042729aa532b,WB-GRP-0223-L2,2,Which of the following light-skinned grape varieties is predominantly cultivated within the Treviso province of northeastern Italy's Veneto region?,Verdiso,Prosecco (Glera),0.72,"The Treviso province in Veneto is historically associated with Prosecco production, particularly the Prosecco di Treviso DOCG designation, and Glera is the primary light-skinned grape variety used in this region's sparkling wines.",False,0.182,True,2072,151,100,,warn
a5ad7dda-79cb-4aaf-99b5-a51fc0ccdc16,WB-WMK-0209-L2,2,A central Italian DOCG requires that its 'Classico' designated wines cannot be released to market before 1 October of the year following the harvest. Which appellation imposes this specific aging/release rule?,Chianti,Vino Nobile di Montepulciano,0.35,"This is a central Italian DOCG known for strict aging requirements, but I'm not certain this specific October 1st release rule applies to its Classico designation rather than other Tuscan appellations like Brunello di Montalcino or Chianti Classico, which also have notable aging mandates.",False,0.229,True,2100,167,115,,warn
2d262e16-3fae-47df-908c-d1aad03df7e2,WB-GRP-0247-L2,2,"When comparing the authorized viticultural plantings of two distinct American regions, which pair of grapes correctly represents a variety approved for cultivation within Sonoita's boundaries and one allowed throughout the Indiana Uplands region, respectively?",Cabernet Franc and Traminette,I cannot provide a reliable answer to this question,0.2,"While I have general knowledge that Sonoita is an Arizona AVA known for wine production and Indiana Uplands is an Indiana AVA, I lack specific, reliable information about the exact authorized viticultural plantings for each region, making any answer to this specific comparative question unreliable.",False,0.35,True,2166,168,104,,pass
4db5db8e-369d-41d9-a4fa-4e2eb90d2a91,WB-WMK-0202-L2,2,Which wine region requires a minimum alcohol content between 11% and 12%?,Schilcherland DAC,Bordeaux,0.35,"Many classic wine regions have minimum alcohol requirements in this range, but I'm not confident enough to distinguish which specific region has exactly 11-12% as its requirement, as multiple regions could potentially fall into this category.",False,0.24,True,2257,138,81,,pass
827ab27c-46ac-4978-aa8d-7ba016330219,WB-VIT-0202-L2,2,Which AVA has a climate that is cooler in the summer and warmer in the winter compared to regions to the east?,Dos Rios AVA,Carneros,0.6,"Carneros, located in southern Napa and Sonoma counties near the San Pablo Bay, has a maritime-influenced climate that moderates temperatures year-round—cooler summers due to bay breezes and warmer winters compared to inland regions to the east, making it suitable for cool-climate varietals.",False,0.2,True,2386,147,103,,pass
379b2a8b-ae5d-4d56-8f32-156c9c2f15e8,WB-WMK-0206-L2,2,"One of these appellations is defined by three release styles—fully sparkling, lightly sparkling, and still—while the other is identified by a rule requiring at least 12.5% alcohol and a minimum of one year before release. Which pairing matches those classification details correctly?",Prosecco DOC = three styles; Valpolicella Ripasso DOC Superiore = at least 12.5% alcohol and one year of aging,"Moscato d'Asti (three release styles: fully sparkling, lightly sparkling, still) and Barolo (12.5% alcohol minimum, one year aging requirement)",0.65,"Moscato d'Asti is known for its variable carbonation levels across different styles, while Barolo has strict minimum alcohol and aging requirements, though I'm less certain about the exact pairing format of the question.",False,0.532,True,2441,180,121,,warn
0e125808-71e4-4313-966d-0dcf206f968c,WB-GRP-0248-L2,2,"When mapping the approved cultivation of Albariño and Carignane to their respective viticultural areas, which of the following accurately describes their authorization?","Albariño is an approved cultivar for San Luis Rey AVA, while Carignane is authorized in Carmel Valley AVA.","Albariño is approved for cultivation in Rías Baixas (Spain), while Carignane is approved in multiple regions including Languedoc (France) and various areas in Spain and California",0.72,"Albariño is strongly associated with the Rías Baixas DO in Galicia, Spain as its primary approved region, while Carignane (Carignan) is a more widely distributed variety approved across multiple viticultural areas in southern France, Spain, and the New World, though the question's phrasing suggests a more specific comparison that I cannot definitively match without seeing the answer options.",False,0.521,True,2451,153,164,,pass
10607bb0-2a21-49ff-bbf9-ec55295fc5d0,WB-WMK-0207-L2,2,"One of these appellations must spend at least 24 months on its lees, while the other cannot be released as Riserva until a minimum of 4 years counted from January 1 after harvest. Which option matches those two aging rules correctly?",Franciacorta Satèn = 24 months on lees; Amarone della Valpolicella Riserva = 4 years from January 1 after harvest,Champagne (24 months on lees) and Barolo Riserva (4 years from January 1 after harvest),0.75,"Champagne requires minimum 24 months on lees for non-vintage and Barolo Riserva requires 4 years total aging counted from January 1 of the year following harvest, which are distinctive and well-established aging requirements in wine law.",True,0.774,True,2943,176,120,,warn
ca3fce2e-3c91-4391-979f-f06218f065c7,WB-REG-0180-L1,1,"A buyer is routing a shipment of Diamond Mountain District AVA wine. Based on the fact, which US state is the origin?",California,California,0.95,"Diamond Mountain District is a well-known AVA (American Viticultural Area) located in Napa County, California, primarily known for Cabernet Sauvignon production.",True,1.0,True,1154,148,74,,fail
4d76e91f-ae66-4507-9769-5668fa636e16,WB-REG-0216-L2,2,Which grape variety is permitted for white wine production under the Chablis Grand Cru AOC?,Chardonnay,Chardonnay,0.95,"Chablis is a renowned white wine region in Burgundy, France, and Chardonnay is the sole permitted grape variety for all Chablis AOC designations, including Grand Cru.",True,1.0,True,1652,143,85,,fail
