uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
87ac35a9-099e-4c3a-b736-f68756158c91,WB-PRD-0479-L2,template,template_only,producers,2,recall,True or False: the producer Invivo Wines sits within the New Zealand wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Invivo Wines is a wine producer located in New Zealand.,,,,,,,,,,,
20b014eb-213e-4621-a41d-3347d7f70219,WB-GRP-0724-L3,template,template_only,grape_varieties,3,comprehension,Which of the following wine regions is known for cultivating Malbec?,"[{'id': 'A', 'text': 'Sonoita AVA'}, {'id': 'B', 'text': 'Carmel Winery'}, {'id': 'C', 'text': 'Crystal Springs of Napa Valley AVA'}, {'id': 'D', 'text': 'North Coast'}]",C,[1] Crystal Springs of Napa Valley AVA permits the Malbec grape variety.,,,,,,,,,,,
005c5c50-ab0b-4e11-b512-653d8b294177,WB-REG-0593-L2,fact_to_question,llama,wine_regions,2,recall,In which year was the Arroyo Seco AVA established?,"[{'id': 'A', 'text': '1985'}, {'id': 'B', 'text': '1981'}, {'id': 'C', 'text': '1987'}, {'id': 'D', 'text': '1983'}]",D,"[1] The state's 15th appellation was established on May 16, 1983, by the Bureau of Alcohol, Tobacco and Firearms, Treasury after reviewing the petition submitted by the Arroyo Seco Winegrowers and Vintners.",,,,,,,,,,,
a46a6e88-1811-45da-b6b2-241e4615869e,WB-REG-0592-L2,fact_to_question,claude,wine_regions,2,recall,Christopher Trotter established a vineyard in 2012 that went on to yield Scotland's first domestically grown wine three years later. In which Scottish council area is this vineyard located?,"[{'id': 'A', 'text': 'Fife'}, {'id': 'B', 'text': 'Perthshire'}, {'id': 'C', 'text': 'Aberdeenshire'}, {'id': 'D', 'text': 'East Lothian'}]",A,"[1] === Scottish wine ===
In 2015, Scotland's first home-grown wine was produced by Christopher Trotter, in Fife, at a vineyard he started in 2012.",,,,,,,,,,,
de4ca68d-f061-4fd2-86e2-63798be43459,WB-PRD-0478-L4,template,template_only,producers,4,recall,Where can you find the wine producer Lagareta em Castelo Novo?,"[{'id': 'A', 'text': 'Provesende, Gouvães do Douro e São Cristóvão do Douro'}, {'id': 'B', 'text': 'São Bento'}, {'id': 'C', 'text': 'Castelo Novo'}, {'id': 'D', 'text': 'Covas do Douro'}]",C,[1] Lagareta em Castelo Novo is a wine producer located in Castelo Novo.,,,,,,,,,,,
364093a5-7aa4-4fbc-80fa-e9899b61c389,WB-PRD-0486-L2,fact_to_question,claude,producers,1,recall,"Established in 1870, Mikveh Israel holds the distinction of being the first Jewish agricultural college and included instruction in viticulture as part of its curriculum. In what year was this institution established?","[{'id': 'A', 'text': '1873'}, {'id': 'B', 'text': '1868'}, {'id': 'C', 'text': '1875'}, {'id': 'D', 'text': '1870'}]",D,"[1] In 1870, the first Jewish agricultural college, Mikveh Israel, was founded and featured a course on viticulture.",,,,,,,,,,,
e731373c-ec2e-477e-89f8-fecfef83f886,WB-WMK-0357-L2,fact_to_question,chatgpt,winemaking,2,recall,Grande Cuvée Charles VII NV from Canard-Duchêne was introduced to mark a company milestone. Which anniversary did its 1968 release commemorate?,"[{'id': 'A', 'text': ""The house's 100th anniversary""}, {'id': 'B', 'text': ""The house's 95th anniversary""}, {'id': 'C', 'text': ""The house's 102nd anniversary""}, {'id': 'D', 'text': ""The house's 105th anniversary""}]",A,"[1] === Grande Cuvée Charles VII NV Champagne ===
Charles VII was launched in 1968 to celebrate the 100th anniversary of Canard-Duchêne.",,,,,,,,,,,
7076b2d0-d1a3-4d81-9693-c1cf9a455d39,WB-GRP-0729-L2,fact_to_question,gemini,grape_varieties,1,recall,Which light-skinned cultivar from Australia was bred during the latter half of the 1900s by Alan J. Antcliff while working for CSIRO?,"[{'id': 'A', 'text': 'Tyrian'}, {'id': 'B', 'text': 'Tarrango'}, {'id': 'C', 'text': 'Cienna'}, {'id': 'D', 'text': 'Taminga'}]",D,[1] Taminga is white Australian wine grape variety that was developed in the late 20th century by viticulturalist and grape breeder Alan J. Antcliff at CSIRO.,,,,,,,,,,,
201fb5b4-9d46-4947-b91d-9453b5203f5a,WB-REG-0584-L1,template,template_only,wine_regions,1,application,"A buyer is routing a shipment of Tehachapi Mountains AVA wine. Based on the fact, which US state is the origin?","[{'id': 'A', 'text': 'Oregon'}, {'id': 'B', 'text': 'California'}, {'id': 'C', 'text': 'Colorado'}, {'id': 'D', 'text': 'Arizona'}]",B,[1] The Tehachapi Mountains AVA was established in 2020 in California.,,,,,,,,,,,
c52f25c0-1ffe-4eb1-b1e5-c8aea04c5679,WB-GRP-0725-L3,template,template_only,grape_varieties,3,application,"If a wine merchant wants to source genuine Malbec-based wines, which of the following regions would be the best choice to target?","[{'id': 'A', 'text': 'Carmel Winery'}, {'id': 'B', 'text': 'Crystal Springs of Napa Valley AVA'}, {'id': 'C', 'text': 'Sonoita AVA'}, {'id': 'D', 'text': 'North Coast'}]",B,[1] Crystal Springs of Napa Valley AVA permits the Malbec grape variety.,,,,,,,,,,,
