uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
00972587-1234-4ab8-b12b-83baf96fa23b,WB-REG-0563-L4,template,template_only,wine_regions,4,application,"A buyer is routing a shipment of Eastern Connecticut Highlands AVA wine. Based on the fact, which US state is the origin?","[{'id': 'A', 'text': 'Tennessee'}, {'id': 'B', 'text': 'Connecticut'}, {'id': 'C', 'text': 'Colorado'}, {'id': 'D', 'text': 'Pennsylvania'}]",B,[1] The Eastern Connecticut Highlands AVA was established in 2019 in Connecticut.,,,,,,,,,,,
f5da0339-636b-4d50-adff-42bb9948e77c,WB-GRP-0706-L3,template,template_only,grape_varieties,3,comprehension,"Based on the source fact, Chardonnay is grown in which wine region?","[{'id': 'A', 'text': 'Sonoita AVA'}, {'id': 'B', 'text': 'Trinity Lakes AVA'}, {'id': 'C', 'text': 'Fair Play AVA'}, {'id': 'D', 'text': 'Okanagan Valley'}]",B,[1] Trinity Lakes AVA permits the Chardonnay grape variety.,,,,,,,,,,,
aa756cdb-1814-42ff-bdcc-5e07a4f7c0a9,WB-PRD-0456-L1,template,template_only,producers,1,recall,In which wine region is Weingut Keller located?,"[{'id': 'A', 'text': 'Germany'}, {'id': 'B', 'text': 'Liesing'}, {'id': 'C', 'text': 'Stratzing'}, {'id': 'D', 'text': 'Nice'}]",A,[1] Weingut Keller is a wine producer located in Germany.,,,,,,,,,,,
80e0d3aa-dc96-4ddd-bbe5-bd7c059fb789,WB-GRP-0705-L1,template,template_only,grape_varieties,1,comprehension,"According to the fact, in which country is Bordeaux-style Red Blend described as being grown?","[{'id': 'A', 'text': 'France'}, {'id': 'B', 'text': 'Lebanon'}, {'id': 'C', 'text': 'Germany'}, {'id': 'D', 'text': 'Canada'}]",A,[1] Bordeaux-style Red Blend is a widely reviewed grape variety in France.,,,,,,,,,,,
2578e4e9-3550-4ee5-8ced-9c0089518276,WB-REG-0561-L4,template,template_only,wine_regions,4,comprehension,"According to the source fact, the Escondido Valley AVA is situated in which county?","[{'id': 'A', 'text': 'Mesa'}, {'id': 'B', 'text': 'Grant'}, {'id': 'C', 'text': 'Pecos'}, {'id': 'D', 'text': 'Smith'}]",C,[1] Escondido Valley AVA is located in Pecos County.,,,,,,,,,,,
462a075c-94d8-4277-8bce-b562a66affa1,WB-GRP-0708-L2,template,template_only,grape_varieties,1,comprehension,"Per the fact, which country hosts cultivation of Cabernet Sauvignon?","[{'id': 'A', 'text': 'Romania'}, {'id': 'B', 'text': 'Bulgaria'}, {'id': 'C', 'text': 'Slovenia'}, {'id': 'D', 'text': 'Greece'}]",B,[1] Cabernet Sauvignon is a widely reviewed grape variety in Bulgaria.,,,,,,,,,,,
5be33031-918b-4a37-abe4-af96f32f45e9,WB-PRD-0460-L2,template,template_only,producers,2,recall,True or False: Château Troplong Mondot is located in the Saint-Émilion wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Château Troplong Mondot is a classified Bordeaux estate in Saint-Émilion.,,,,,,,,,,,
5a60a3cf-cd77-455d-939b-5785046f60cd,WB-GRP-0710-L3,template,template_only,grape_varieties,3,comprehension,"According to the fact, in which wine region is Viognier and Zinfandel cultivated?","[{'id': 'A', 'text': 'Ribeira da Janela'}, {'id': 'B', 'text': 'Sonoita AVA'}, {'id': 'C', 'text': 'River Junction AVA'}, {'id': 'D', 'text': 'Mount Benson wine region'}]",C,[1] River Junction AVA permits the Viognier and Zinfandel grape variety.,,,,,,,,,,,
02eb11e0-a745-43ce-b40d-513b33f6ffd8,WB-PRD-0459-L2,template,template_only,producers,2,recall,Which region houses the producer Der Weingarten?,"[{'id': 'A', 'text': 'Floridsdorf'}, {'id': 'B', 'text': 'Nice'}, {'id': 'C', 'text': 'Mittelburgenland'}, {'id': 'D', 'text': 'Dürnstein'}]",A,[1] Der Weingarten is a wine producer located in Floridsdorf.,,,,,,,,,,,
72020a81-c047-42b9-9e5d-123b304bfe40,WB-REG-0562-L4,template,template_only,wine_regions,4,comprehension,"Based on the source fact, the Eastern Connecticut Highlands AVA is found in which state?","[{'id': 'A', 'text': 'Connecticut'}, {'id': 'B', 'text': 'Tennessee'}, {'id': 'C', 'text': 'Pennsylvania'}, {'id': 'D', 'text': 'Colorado'}]",A,[1] The Eastern Connecticut Highlands AVA was established in 2019 in Connecticut.,,,,,,,,,,,
