fact_id,domain,subdomain,fact_text,ok,world_solvable,confidence,candidate_question,candidate_answer,reasoning,latency_ms,input_tokens,output_tokens,error
0116861f-d246-4dbb-97a3-ebf9387ecb37,winemaking,italy,All the grapes used for the DOC wine must be harvested to a yield no greater than 14 tonnes/hectare with the finished wine fermented to a minimum alcohol level of.,True,False,0.15,What is the maximum grape yield per hectare allowed for DOC wines?,14 tonnes/hectare,"This is a specific regulatory detail about DOC wine production standards that would require knowledge of Italian wine law rather than general wine knowledge, and the fact itself is incomplete (missing the minimum alcohol level).",1722,301,119,
0084b379-b094-4052-b773-4363a5911192,wine_regions,canada,Wine reviews from Canada cover 31 distinct grape varieties.,True,False,0.95,How many distinct grape varieties are covered in wine reviews from Canada?,31,This is a specific quantitative statistic about Canadian wine reviews that would not be part of general LLM training knowledge and requires the exact fact provided.,1915,273,103,
079d71c4-9ffd-413a-986b-c826558b7231,viticulture,pest_disease_management,Grape varieties vary widely in their susceptibility to both forms of phylloxera.,True,True,0.85,Do all grape varieties show the same level of susceptibility to phylloxera?,"No, grape varieties vary widely in their susceptibility to both forms of phylloxera.","The general principle that different grape varieties have different phylloxera resistance is well-established wine knowledge (e.g., Vitis vinifera vs. American rootstocks), though the specific claim about 'both forms' requires slightly more specialized understanding.",1887,279,147,
06b8b32e-ee02-46a8-817d-41fe53645a6f,viticulture,south_africa,"Within this wide expanse, a vast range of macroclimate and vineyard soil types is influenced by the area's unique geography.",True,True,0.85,What geographic and soil factors contribute to the diversity of wine production in a major wine region?,Macroclimate variation and diverse vineyard soil types influenced by unique geography,"This is general wine knowledge—that climate and soil diversity drive regional wine variation—but the fact is too vague to identify which specific region is being described, making it difficult to verify the precise answer without the source context.",2074,289,137,
0364b68d-8873-4de6-8077-f9316b520d2a,wine_regions,germany,"Jon Bonné describes German wine labels as a ""thicket of exotic words and abbreviations"" that require ""the vinous equivalent of Cliff notes to parse.",True,False,0.15,Which wine critic described German wine labels as a 'thicket of exotic words and abbreviations' requiring 'the vinous equivalent of Cliff notes to parse'?,Jon Bonné,"While Jon Bonné is a known wine writer, attributing this specific quote to him requires either direct knowledge of his published work or exposure to this particular fact, making it unsuitable for a closed-book benchmark testing general wine knowledge.",2135,296,146,
02e0910d-0c78-4b45-9e70-99d878e29fb9,wine_regions,italy,"The variety was formerly mostly referred to as Prosecco, but in the EU was renamed ""Glera"" in 2009 to make room for the protection of ""Prosecco"" as the name of the Italian geographically protected wine.",True,False,0.25,What is the name of the grape variety that was formerly called Prosecco before being renamed Glera in 2009?,Glera,"While wine enthusiasts may know that Prosecco is now a protected designation, the specific 2009 regulatory renaming of the grape variety from Prosecco to Glera is a precise regulatory detail that most LLMs would struggle to reliably answer without having encountered this specific fact in training.",2239,315,152,
05db6b07-a796-4932-ba2a-f7f0c53f7675,viticulture,canada,"Along with the nearby Similkameen Valley, the approximately 8,619 acres (3,488 hectares) of vineyards planted in the Okanagan (2018 data) account for more than 80% of all wine produced in.",True,False,0.15,The Okanagan and Similkameen Valley regions account for what percentage of all wine produced in Canada?,More than 80%,"While a strong LLM would know the Okanagan is Canada's major wine region, the specific statistic of '80%+' and the precise acreage figures (8,619 acres / 3,488 hectares as of 2018) are too granular and data-dependent to reliably answer without the fact itself.",2341,318,161,
01b4b7ca-9f90-4d11-8d91-bccbdaa753f5,winemaking,,"A solution to reduce the alcohol content be the obtention of wines from less ripe grapes, although in this case, the presence of immature seeds increase wine astringency and bitterness.",True,True,0.82,What is a trade-off of using less ripe grapes to reduce alcohol content in wine?,Increased astringency and bitterness from immature seeds,"The relationship between grape ripeness, seed maturity, and wine astringency/bitterness is well-established enological knowledge that would be covered in wine education and general wine literature.",2450,302,130,
0af4020d-b334-4ef9-8e07-4f2c8f7b9973,wine_regions,italy,"The Aosta Valley wine region (Italian: Valle d’Aosta; French: Vallée d’Aoste) is the smallest wine area in Italy, it has about 400 hectares (1.5 sq mi) in the north-western Alps.",True,False,0.25,What is the smallest wine region in Italy by area?,Aosta Valley (Valle d'Aosta),"While Aosta Valley's existence and location are general knowledge, the specific claim that it is Italy's smallest wine region requires precise comparative knowledge of all Italian wine regions that most LLMs would not reliably have.",1728,320,124,
07cf161e-2881-4938-a198-917025ea4689,producers,,Pewsey Vale was the first vineyard established in what is now the Eden Valley wine region and the first to plant Riesling vines in Australia.,True,False,0.15,Which vineyard was the first to plant Riesling vines in Australia?,Pewsey Vale,"While Riesling in Australia is general knowledge, the specific claim that Pewsey Vale was the *first* to plant Riesling vines is a precise historical fact that would be difficult for an LLM to verify without explicit training on Australian wine history minutiae.",2039,294,137,
