uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes,audit_severity_summary,flagged_by_agent,recommended_action
9cbbd8e4-4666-48f0-b91b-8a9efdab61d3,WB-REG-0313-L3,scenario_synthesis,chatgpt,wine_regions,3,application,A Georgian producer is designing a traditional white wine from the central province of Kartli and wants the method to reflect the region's customary position between the more extractive Kakhetian approach and the lighter Imeretian one. The cellar team is also considering fermentation and aging in clay vessels buried in the ground because they want a wine that supporters of that method describe as naturally steady and notably structured. Which plan best fits those goals?,"[{'id': 'A', 'text': 'Use qvevri, but model the wine entirely on the Kakhetian style rather than the central Georgian middle-ground tradition.'}, {'id': 'B', 'text': 'Make the wine in buried clay qvevri and aim for a Kartli-style white that sits between the Kakheti and Imereti traditions, accepting a firmer tannic profile and inherent stability.'}, {'id': 'C', 'text': 'Avoid qvevri because that vessel type is associated with a softer, less tannic result, and instead push Kartli white wine fully toward the Imeretian end of the spectrum.'}, {'id': 'D', 'text': 'Skip qvevri and define the wine as a direct blend of Kakhetian and Imeretian methods, since Kartli has no distinct traditional white-wine identity of its own.'}]",B,"[1] Wine-makers who use kvevri claim that their wine is stable by nature, rich in tannins.
---
[2] == External links == A history of Georgian wine-making in kvevris An illustrated handbook explaining in detail how kvevris and kvevri wine are made The Real Wine Fair on ""All.
---
[3] Intermediate place between the Kakhetian style and Imeretian style represents the traditional white wine from province Kartli (Central Georgia).",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=WARN,C2=PASS,C4=ERROR",,warn_only
42a29e4f-2e6d-4047-87a8-0e942cc7fc0b,WB-REG-1149-L2,fact_to_question,claude,wine_regions,2,recall,The Fair Play AVA is a sub-appellation located entirely within which larger California AVA?,"[{'id': 'A', 'text': 'Lodi AVA'}, {'id': 'B', 'text': 'Clarksburg AVA'}, {'id': 'C', 'text': 'El Dorado AVA'}, {'id': 'D', 'text': 'North Yuba AVA'}]",C,[1] El Dorado AVA contains the Fair Play AVA.,,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
8b16cafe-bc3e-4804-b056-1b5bcd600375,WB-GRP-0768-L4,distractor_mining,llama,grape_varieties,4,analysis,"Which Canadian wine region has two classification systems for wines made from 100% locally-grown grapes, with specific requirements depending on the grape variety and winemaking techniques used?","[{'id': 'A', 'text': 'Charente-Maritime'}, {'id': 'B', 'text': 'British Columbia'}, {'id': 'C', 'text': 'Quebec'}, {'id': 'D', 'text': 'Okanagan Valley'}]",B,"[1] Quebec wine varieties grown in Quebec, both white and red, all have common qualities needed by the harshness of the winter season, including resistance to winter temperatures.
---
[2] The use of French hybrid varieties allowed for a more neutral flavour profile for wine production while still providing tolerances to climatic, soil.
---
[3] In the 21st century, growers have been planting more warm climate varieties typically not associated with the Canadian wine industry.
---
[4] Wines made from 100% British Columbia grapes can qualify for classification under one of British Columbia's two classification systems, depending on the variety, the winemaking techniques employed.
---
[5] Maréchal Foch (French pronunciation: [maʁeʃal fɔʃ]) is an inter-specific hybrid French red wine grape variety.
---
[6] Though the variety was created in France, today it is no longer an authorized grape variety with only a few rare plantings remaining in the Charente-Maritime department.",,,,,,,,,,,,"A1=PASS,A3=PASS,A4=WARN,B1=PASS,B2=PASS,C2=PASS,C4=WARN",,warn_only
8beea7e9-29e5-4df4-9654-8e6b089ea126,WB-PRD-0624-L2,fact_to_question,chatgpt,producers,1,recall,Which Bordeaux appellation is home to the classified estate Château l'Arrosée?,"[{'id': 'A', 'text': 'Pessac-Léognan'}, {'id': 'B', 'text': 'Saint-Émilion'}, {'id': 'C', 'text': 'Margaux'}, {'id': 'D', 'text': 'Pomerol'}]",B,[1] Château l'Arrosée is a classified Bordeaux estate in Saint-Émilion.,,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=WARN,C2=PASS,C4=WARN",,warn_only
5c351279-9cd6-43d0-a1b6-dae1b6722a15,WB-REG-0787-L2,fact_to_question,qwen,wine_regions,1,recall,"Which of the following appellations is classified as a premier cru located in the commune of Morey-Saint-Denis, within the Burgundy region of France?","[{'id': 'A', 'text': 'Saint-Aubin'}, {'id': 'B', 'text': 'Chorey-lès-Beaune'}, {'id': 'C', 'text': 'Monthélie'}, {'id': 'D', 'text': 'Aux Cheseaux'}]",D,[1] Morey-Saint-Denis premier cru Aux Cheseaux is an AOC appellation in France.,,,,,,,,,,,,"A1=FAIL,A3=PASS,B1=PASS,B2=FAIL,C2=PASS,C4=FAIL",B2_ClosedBookSolvability,drop_critical
f668d33b-b767-4eea-9809-47441f8c88f5,WB-REG-0376-L3,scenario_synthesis,llama,wine_regions,1,synthesis,A winemaker in Israel is planning the harvest for their vineyards located in the southern West Bank region. They are considering whether to conduct the harvest during the day or at night. What would be the most suitable choice based on the typical practices in this area?,"[{'id': 'A', 'text': 'Harvest during the cooler temperatures at night'}, {'id': 'B', 'text': 'Alternate between day and night harvesting'}, {'id': 'C', 'text': 'Harvest during the day to maximize sunlight exposure'}, {'id': 'D', 'text': 'Harvest in the early morning to balance cool temperatures and daylight'}]",A,"[1] More than 80% of the vineyards planted in Israel are located in the southern West Bank, Samson and Galilee regions.
---
[2] Harvest will often take place during the cooler temperatures of night time.
---
[3] Wine was exported to Rome during the Roman period, but under the Muslim rulers the production was virtually wiped out.",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=FAIL,C2=PASS,C4=FAIL",B2_ClosedBookSolvability,drop_critical
0624f02f-c414-4b51-984f-ea7844d48b80,WB-WMK-0239-L2,fact_to_question,claude,winemaking,1,recall,"In the traditional production of certain Spanish fortified wines, a specialized tool is lowered through the bunghole of a cask to extract samples by piercing the layer of indigenous yeast that forms on the wine's surface during maturation. What is this yeast layer called?","[{'id': 'A', 'text': 'Botrytis'}, {'id': 'B', 'text': 'Mycoderma aceti'}, {'id': 'C', 'text': 'Pied de cuve'}, {'id': 'D', 'text': 'Flor'}]",D,[1] Venencia is dropped in to the barrels through the bunghole to break through the protective yeast called 'flor' that covers the aging wine.,,,,,,,,,,,,"A1=PASS,A3=WARN,B1=PASS,B2=FAIL,C2=PASS,C4=WARN",B2_ClosedBookSolvability,drop_critical
2f38be95-2387-4215-9138-5fa83b3bd4e1,WB-GRP-1101-L2,fact_to_question,qwen,grape_varieties,2,recall,Which two grape varieties are cultivated by a traditional Champagne house known for adhering to the classic varietal composition of the region?,"[{'id': 'A', 'text': 'Pinot Noir and Pinot Meunier'}, {'id': 'B', 'text': 'Chardonnay and Pinot Noir'}, {'id': 'C', 'text': 'Arbane and Petit Meslier'}, {'id': 'D', 'text': 'Pinot Meunier and Chardonnay'}]",B,"[1] Champagne Louis Nicaise grows the traditional Champagne varietals: Chardonnay, Pinot Noir.",,,,,,,,,,,,"A1=PASS,A3=WARN,A4=WARN,B1=PASS,B2=PASS,C2=FAIL,C4=PASS",C2_CategoryLeak,drop_critical
c3349f19-e83c-4eb7-8262-3eefbeb302b4,WB-GRP-0856-L2,comparative,chatgpt,grape_varieties,1,analysis,"Which wine region is identified by the rule that its wine must contain between three-quarters and all of the blend as Sangiovese, a standard in place since the mid-1990s?","[{'id': 'A', 'text': 'Valpolicella'}, {'id': 'B', 'text': 'Chianti Classico'}, {'id': 'C', 'text': 'Valpolicella Classico'}, {'id': 'D', 'text': 'Chianti'}]",D,"[1] The most favorably situated vineyards are located in the Monti Lessini foothills in the classico zone where the grapes ripen at altitudes between 490 to 1,500 feet (150–460 metres).
---
[2] == Grapes and classification == Since 1996 the blend for Chianti and Chianti Classico has been 75–100% Sangiovese.",,,,,,,,,,,,"A1=PASS,A3=PASS,B1=WARN,B2=PASS,C2=PASS,C4=WARN",,warn_only
8ef24b66-720f-433c-af48-a410a049396f,WB-REG-0308-L2,comparative,qwen,wine_regions,1,analysis,"Which of these wine entities was the first in Italy to receive the highest national quality designation, established through a formal classification upgrade that signified both controlled origin and guaranteed quality?","[{'id': 'A', 'text': 'Amarone della Valpolicella'}, {'id': 'B', 'text': ""Montepulciano d'Abruzzo""}, {'id': 'C', 'text': 'Oseleta'}, {'id': 'D', 'text': 'Brunello di Montalcino'}]",D,"[1] In 1980, the Montalcino region was the first Italian wine region to be awarded denominazione di origine controllata e garantita (DOCG) designation.
---
[2] Oseleta is a rare, autochthonous red wine grape variety from the Valpolicella area in the Veneto region of Italy.",,,,,,,,,,,,"A1=PASS,A3=PASS,A4=WARN,B1=PASS,B2=FAIL,C2=PASS,C4=WARN",B2_ClosedBookSolvability,drop_critical
