uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
5c402422-1c29-4887-8263-050a59c3da7f,WB-GRP-0719-L3,template,template_only,grape_varieties,3,comprehension,Which of the following regions is known to produce Cabernet Sauvignon?,"[{'id': 'A', 'text': 'Carmel Winery'}, {'id': 'B', 'text': 'Nashoba Valley AVA'}, {'id': 'C', 'text': 'Verde Valley AVA'}, {'id': 'D', 'text': 'Okanagan Valley'}]",C,[1] Verde Valley AVA permits the Cabernet Sauvignon grape variety.,1,1,0,1,1,1,1,1,,,
a62afd39-b9b1-47f4-9141-23d5b1a24faf,WB-REG-0575-L1,template,template_only,wine_regions,1,application,"A buyer is routing a shipment of South Coast AVA wine. Based on the fact, which US state is the origin?","[{'id': 'A', 'text': 'California'}, {'id': 'B', 'text': 'Oregon'}, {'id': 'C', 'text': 'Arizona'}, {'id': 'D', 'text': 'Colorado'}]",A,[1] The South Coast AVA was established in 1985 in California.,1,1,1,1,1,1,1,1,,,
1f03b8bc-ee69-49db-a476-1da1b32e1b15,WB-PRD-0469-L1,template,template_only,producers,1,comprehension,"Based on the fact, in which country is the producer Viña Casas Patronales based?","[{'id': 'A', 'text': 'Chile'}, {'id': 'B', 'text': 'Argentina'}, {'id': 'C', 'text': 'US'}, {'id': 'D', 'text': 'Brazil'}]",A,[1] Viña Casas Patronales is a wine producer in the Maule Valley region of Chile.,1,1,1,1,1,1,1,1,,,
782d9afa-34c1-4961-8033-c20da157861b,WB-PRD-0476-L2,template,template_only,producers,2,recall,Markham Vineyards is located within a United States wine region. True or False?,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Markham Vineyards is a wine producer located in United States.,1,1,1,1,1,1,1,1,,,
98d0215a-0a37-4e20-a900-63360dae9650,WB-GRP-0722-L3,template,template_only,grape_varieties,3,comprehension,"According to the source fact, in which wine region is Cabernet Sauvignon cultivated?","[{'id': 'A', 'text': 'Gundagai wine region'}, {'id': 'B', 'text': 'Somogy County'}, {'id': 'C', 'text': 'Wine of Origin'}, {'id': 'D', 'text': 'Mount Benson wine region'}]",A,[1] Gundagai wine region permits the Cabernet Sauvignon grape variety.,1,0,1,1,1,1,1,1,,,
095d1faf-6073-427b-8580-eac62a13a5c1,WB-GRP-0720-L3,template,template_only,grape_varieties,3,application,"If a wine merchant wants to source genuine Cabernet Sauvignon-based wines, which of the following regions would be the most appropriate choice?","[{'id': 'A', 'text': 'Okanagan Valley'}, {'id': 'B', 'text': 'Nashoba Valley AVA'}, {'id': 'C', 'text': 'Verde Valley AVA'}, {'id': 'D', 'text': 'Carmel Winery'}]",C,[1] Verde Valley AVA permits the Cabernet Sauvignon grape variety.,1,1,0,1,1,1,1,1,,,
4eb3e420-979e-421a-a94b-327c77ceaee0,WB-GRP-0717-L3,template,template_only,grape_varieties,1,application,"An advisor is recommending a region for a new Cabernet Sauvignon planting. Based on the fact, which region's cultivation of this grape is documented?","[{'id': 'A', 'text': 'Ribeira Chã'}, {'id': 'B', 'text': 'Rutherford AVA'}, {'id': 'C', 'text': 'Nashoba Valley AVA'}, {'id': 'D', 'text': 'Mount Benson wine region'}]",B,[1] Rutherford AVA permits the Cabernet Sauvignon grape variety.,1,1,1,1,1,1,1,1,,,
72c51555-908e-4385-b6b3-bc8647ae4e47,WB-REG-0580-L4,template,template_only,wine_regions,4,comprehension,In which county or counties is the Candy Mountain AVA located?,"[{'id': 'A', 'text': 'Benton|Klickitat|Yakima'}, {'id': 'B', 'text': 'Benton|Lane'}, {'id': 'C', 'text': 'Benton'}, {'id': 'D', 'text': 'Grant'}]",C,[1] Candy Mountain AVA is located in Benton County.,1,1,1,1,1,1,1,1,,,
0ee3c3ab-7bf4-42fb-bf42-216c33b012fa,WB-PRD-0470-L1,template,template_only,producers,1,application,"A buyer plans to import wines directly from the estate Viña Casas Patronales. Per the fact, which country's export procedures should they follow?","[{'id': 'A', 'text': 'Chile'}, {'id': 'B', 'text': 'Argentina'}, {'id': 'C', 'text': 'Brazil'}, {'id': 'D', 'text': 'US'}]",A,[1] Viña Casas Patronales is a wine producer in the Maule Valley region of Chile.,1,1,1,1,1,1,1,1,,,
4f931ba0-ad52-4ca0-b18e-99cbf540faef,WB-PRD-0472-L2,template,template_only,producers,1,recall,Identify the wine region in which Viña Casas Patronales is based.,"[{'id': 'A', 'text': 'Maule Valley'}, {'id': 'B', 'text': 'Mount Benson wine region'}, {'id': 'C', 'text': 'Okanagan Valley'}, {'id': 'D', 'text': 'Yarra Valley'}]",A,[1] Viña Casas Patronales is a wine producer in the Maule Valley region of Chile.,1,1,1,1,1,1,1,1,,,
9da54183-5219-45e6-a1ea-476d1ad15b69,WB-REG-0574-L1,template,template_only,wine_regions,1,comprehension,The fact assigns the Arroyo Seco AVA to which US state?,"[{'id': 'A', 'text': 'California'}, {'id': 'B', 'text': 'Oregon'}, {'id': 'C', 'text': 'Colorado'}, {'id': 'D', 'text': 'Arizona'}]",A,[1] The Arroyo Seco AVA was established in 1983 in California.,1,1,1,1,1,1,1,1,,,
d5359844-6f58-44f9-b848-a88adc572e25,WB-REG-0576-L1,template,template_only,wine_regions,1,comprehension,"Given the fact, in which country would a traveller find the Südsteiermark wine region?","[{'id': 'A', 'text': 'Slovenia'}, {'id': 'B', 'text': 'Germany'}, {'id': 'C', 'text': 'US'}, {'id': 'D', 'text': 'Austria'}]",D,[1] Sauvignon Blanc is grown in the Südsteiermark region of Austria.,1,1,1,1,1,1,1,1,,,
bf8230bf-bdd0-4427-8ac9-0e894c34393f,WB-GRP-0716-L3,template,template_only,grape_varieties,1,comprehension,"According to the fact, in which wine region is Cabernet Sauvignon cultivated?","[{'id': 'A', 'text': 'Nashoba Valley AVA'}, {'id': 'B', 'text': 'Sonoita AVA'}, {'id': 'C', 'text': 'Mount Benson wine region'}, {'id': 'D', 'text': 'Rutherford AVA'}]",D,[1] Rutherford AVA permits the Cabernet Sauvignon grape variety.,1,1,1,1,1,1,1,1,,,
