uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
ca105021-62b3-43bb-88f1-2cd66f874072,WB-BIZ-0094-L2,fact_to_question,chatgpt,wine_business,2,recall,"In what year was the Wine Association of Nova Scotia, the body joined by most of the province's wine trade participants, established?","[{'id': 'A', 'text': '2001'}, {'id': 'B', 'text': '2005'}, {'id': 'C', 'text': '2003'}, {'id': 'D', 'text': '2007'}]",C,"[1] In 2003, the Wine Association of Nova Scotia (WANS) was created, of which most participants of the industry are members.",,,,,,,,,
1974ac3b-3edd-4c0e-adce-110de23365b0,WB-BIZ-0101-L2,fact_to_question,claude,wine_business,2,recall,"Which two market forces are the primary drivers of the wine industry in New South Wales, Australia?","[{'id': 'A', 'text': 'Duty-free airport retail and cruise ship provisioning'}, {'id': 'B', 'text': 'Domestic consumption within the region and tourism trade'}, {'id': 'C', 'text': 'Bulk export sales and supermarket distribution'}, {'id': 'D', 'text': 'International exports to Asia and contract grape sales'}]",B,[1] New South Wales wine industry of the region is heavily dominated by local consumption and tourism trade.,,,,,,,,,
fac43b26-1f5e-4844-a68f-3a5819ef7627,WB-REG-0096-L1,template,template_only,wine_regions,1,recall,True or False: the Leelanau Peninsula wine region lies within US.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Leelanau Peninsula is a wine-producing area within the Michigan region of US.,,,,,,,,,
9569c479-65ff-407d-bde8-f657cdedffcf,WB-GRP-0095-L3,template,template_only,grape_varieties,3,recall,Which wine region is best known for growing Cabernet Franc?,"[{'id': 'A', 'text': 'Verdejo'}, {'id': 'B', 'text': 'Chalone AVA'}, {'id': 'C', 'text': 'San Antonio Valley AVA'}, {'id': 'D', 'text': 'Russian River Valley AVA'}]",C,[1] San Antonio Valley AVA permits the Cabernet Franc grape variety.,,,,,,,,,
3ed5b237-d989-45ab-ab92-d489d8d107a1,WB-GRP-0142-L3,scenario_synthesis,qwen,grape_varieties,3,synthesis,"A winemaker in southern England is evaluating their estate-grown sparkling wine program. The region's cool climate results in consistently high acidity and low pH in the harvested grapes, which the winemaker recognizes as ideal for sparkling wine production. The wine is made exclusively from grapes grown on-site, and they are considering how to classify the wine for labeling and market positioning. Given the regulatory hierarchy for English wine, what should be the next step in determining the appropriate designation for this wine?","[{'id': 'A', 'text': 'First confirm eligibility for PGI status, then consider whether to label it with grape varieties if they meet the requirements.'}, {'id': 'B', 'text': 'Pursue varietal labeling immediately, as high acidity is a marker of premium quality and justifies bypassing PGI considerations.'}, {'id': 'C', 'text': ""Label it as a 'New World style' sparkling wine to emphasize its modern profile and avoid regulatory constraints.""}, {'id': 'D', 'text': 'Seek PDO status instead, since the unique climate-driven characteristics qualify the wine for the highest tier of protection.'}]",A,"[1] The moderate temperatures lead to the high acidity and low pH which is the backbone of fine sparkling wines.
---
[2] PGI (Protected Geographical Indication) is next and then varietal wine.
---
[3] The designation is limited to wine produced from grapes grown in England.",,,,,,,,,
95d7ec02-2627-44a6-938c-5e992d333781,WB-GRP-0104-L2,fact_to_question,qwen,grape_varieties,2,recall,Which of the following best describes a typical sensory characteristic commonly associated with the wine style Cviček?,"[{'id': 'A', 'text': 'Marked sweetness'}, {'id': 'B', 'text': 'High acidity'}, {'id': 'C', 'text': 'Intense tannic structure'}, {'id': 'D', 'text': 'Low acidity'}]",B,"[1] == Wine style ==
It is common for Cviček to have a characteristic acidity.",,,,,,,,,
e4090697-9a57-464f-847c-a9b03463e52e,WB-PRD-0104-L1,template,template_only,producers,1,recall,In which wine region is Force Majeure Vineyards located?,"[{'id': 'A', 'text': 'Georgian wine'}, {'id': 'B', 'text': 'Canadian wine'}, {'id': 'C', 'text': 'Italian wine'}, {'id': 'D', 'text': 'United States'}]",D,[1] Force Majeure Vineyards is a wine producer located in United States.,,,,,,,,,
c36b4b52-6f0f-4621-95f0-a4b45d2e1537,WB-PRD-0111-L2,fact_to_question,chatgpt,producers,2,recall,Which Israeli wine producer set up a facility in the Barkan Industrial Park in the West Bank after developing from a long-established winery in Petah Tikva?,"[{'id': 'A', 'text': 'Carmel Winery'}, {'id': 'B', 'text': 'Barkan Wine Cellars'}, {'id': 'C', 'text': 'Golan Heights Winery'}, {'id': 'D', 'text': 'Teperberg Winery'}]",B,[1] Israeli wine grew out of an old winery in Petah Tikva established a plant in the West Bank's Barkan Industrial Park.,,,,,,,,,
f6acd33d-ea18-4875-a5fe-321c2611ac3d,WB-BIZ-0119-L2,scenario_synthesis,chatgpt,wine_business,2,synthesis,"An Australian winemaker is deciding where to base a new small production project and where to aim early export sales. The plan requires a state that already has a meaningful and growing vineyard base, while avoiding reliance on a domestic region whose sales are driven mainly by cellar-door visitors and nearby drinkers. For exports, the winemaker wants a South Asian market where Australian bottles already hold a strong imported position, specifically ranking just behind the top import source with about a 16% share. Which strategy best fits those conditions?","[{'id': 'A', 'text': 'Set up in Queensland and target India for export, rather than depending on southern New South Wales tourism and local buyers.'}, {'id': 'B', 'text': 'Set up in southern New South Wales and focus on India, because that region is primarily export-driven.'}, {'id': 'C', 'text': 'Set up in Queensland but avoid India, since Australian wine has only a minor presence there.'}, {'id': 'D', 'text': 'Set up in southern New South Wales and concentrate on cellar-door trade, because Queensland lacks a substantial vineyard sector.'}]",A,"[1] Southern New South Wales industry of the region is heavily dominated by local consumption and tourism trade.
---
[2] Queensland is also developing a wine industry with over 100 vineyards registered in the state.
---
[3] Australian wine accounts for a very large imported wine market share in South Asian countries and is the second largest imported wine in India with a market share of 16%.",,,,,,,,,
5d63486e-dbac-4462-bfa8-daafe6b4c352,WB-PRD-0143-L4,scenario_synthesis,gemini,producers,4,analysis,"A winemaking consultant is planning yeast and enzyme procurement for a massive facility known locally by its Hebrew name, ""יקבי כרמל"". To calculate the required additive quantities for the upcoming vintage, the consultant is instructed to base their estimates on a volume equivalent to roughly half of the entire nation's annual grape yield. Which country's national agricultural statistics should the consultant review to determine the baseline tonnage?","[{'id': 'A', 'text': ""Cyprus, since this specific estate handles half of the island's indigenous varieties.""}, {'id': 'B', 'text': 'Jordan, since this specific estate is the primary cooperative for the region.'}, {'id': 'C', 'text': ""Israel, since this specific estate is the nation's dominant producer.""}, {'id': 'D', 'text': ""Lebanon, since this specific estate processes the majority of the Bekaa Valley's yield.""}]",C,"[1] Carmel Winery is the prime producer of wine in Israel, as it produces nearly half of the Israeli wine market.
---
[2] Carmel Winery is approximately 50% of Israel's total harvest.
---
[3] Carmel Winery (Hebrew: יקבי כרמל) is a vineyard and winery in Israel.",,,,,,,,,
