uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
c3a00811-9b5f-440e-988c-4e110dbeba9f,WB-PRD-0431-L2,template,template_only,producers,2,recall,True or False: the producer Lasseter Family Winery sits within the United States wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Lasseter Family Winery is a wine producer located in United States.,1,1,1,1,1,1,1,1,,,
b097d3f3-e6cd-4a6f-91e7-a8271e432ff6,WB-GRP-0610-L4,template,template_only,grape_varieties,4,application,A wine merchant looking for authentic 1.4 tn-based wines consults the fact. Which region should they target?,"[{'id': 'A', 'text': 'Aldeia da Mata'}, {'id': 'B', 'text': 'Pala (Mortágua)'}, {'id': 'C', 'text': 'Alella (DO)'}, {'id': 'D', 'text': 'Almada, Cova da Piedade, Pragal e Cacilhas'}]",C,[1] Alella (DO) permits the 1.4 tn grape variety.,0,0,0,0,0,0,0,0,,,Completely incorrect pattern
1fcea178-f05e-40c6-a8c1-5ddbd4e89df4,WB-GRP-0616-L3,comparative,chatgpt,grape_varieties,1,analysis,"One wine category introduced DOCG planting rules requiring newly established vineyards to use espalier training and a minimum density of 4,000 plants per hectare. The other had a town formally admitted in 2001 as a sub-area within a larger DOC. Which pairing matches those two classification details?","[{'id': 'A', 'text': ""Soave = new DOCG planting rules on espalier and 4,000 vines/ha; Barbera = Nizza recognized in 2001 within Barbera d'Asti DOC""}, {'id': 'B', 'text': 'Soave = new DOCG planting rules on espalier and 4,000 vines/ha; Barbera = new DOCG planting rules on espalier and 4,000 vines/ha'}, {'id': 'C', 'text': ""Soave = Nizza recognized in 2001 within Barbera d'Asti DOC; Barbera = Nizza recognized in 2001 within Barbera d'Asti DOC""}, {'id': 'D', 'text': ""Barbera = new DOCG planting rules on espalier and 4,000 vines/ha; Soave = Nizza recognized in 2001 within Barbera d'Asti DOC""}]",A,"[1] Additionally, there are also new regulations for planting under the DOCG system with new vineyards needing to be trained using Espalier systems with at least 4,000 vines per hectare.
---
[2] In 2001, the town of Nizza was officially recognized as a sub-region within the greater Barbera d'Asti DOC.",1,1,1,1,1,1,0,1,,,Difficulty should be 3
a7c8ddcd-f1cd-4c2d-bf82-b9185c672e7d,WB-GRP-0646-L2,comparative,qwen,grape_varieties,2,analysis,"Which grape variety is historically linked to a mistaken identity with a Hungarian cultivar, based on assumed genetic equivalence despite originating in a different wine-producing region?","[{'id': 'A', 'text': 'Picolit'}, {'id': 'B', 'text': 'Barbera'}, {'id': 'C', 'text': 'Friulano'}, {'id': 'D', 'text': 'Refosco'}]",A,"[1] Picolit was assumed to be identical with the Hungarian grape variety Kéknyel?.
---
[2] The acidity of Barbera makes it a valued plant in warm climate regions where acidification is usually needed.",1,1,1,1,1,1,1,1,,,
a741379b-e623-47ab-a750-945dd3b52231,WB-GRP-0608-L2,fact_to_question,chatgpt,grape_varieties,1,recall,"In South African wine terminology, what local name is used for wines made from grapes affected by noble rot and carrying a minimum of 50 g/L residual sugar?","[{'id': 'A', 'text': 'Edelkeur'}, {'id': 'B', 'text': 'Noble Late Harvest'}, {'id': 'C', 'text': 'Late Harvest'}, {'id': 'D', 'text': 'Straw Wine'}]",A,[1] Wine of Origin are affected by noble rot (known locally as Edelkeur) and contain at least 50 grams of residual sugar per litre.,1,1,1,1,1,1,1,1,,,
2ba023f4-220c-43dd-9b85-b12cfc7f6e60,WB-GRP-0637-L3,comparative,qwen,grape_varieties,3,analysis,Which of these American Viticultural Areas includes Carignane among its approved grape varieties for wine production?,"[{'id': 'A', 'text': 'Chalone AVA'}, {'id': 'B', 'text': 'Redwood Valley AVA'}, {'id': 'C', 'text': 'Mendocino AVA'}, {'id': 'D', 'text': 'Gabilan Mountains AVA'}]",D,"[1] Redwood Valley AVA permits the Barbera grape variety.
---
[2] Gabilan Mountains AVA permits the Carignane grape variety.",1,1,1,1,1,1,1,1,,,
5f22b53d-6e56-4575-bd34-b9db4d6b0b21,WB-GRP-0612-L3,template,template_only,grape_varieties,3,application,A wine merchant looking for authentic Sauvignon Blanc-based wines consults the fact. Which region should they target?,"[{'id': 'A', 'text': 'North Coast'}, {'id': 'B', 'text': 'Okanagan Valley'}, {'id': 'C', 'text': 'Sonoita AVA'}, {'id': 'D', 'text': 'Upper Lake Valley AVA'}]",D,[1] Upper Lake Valley AVA permits the Sauvignon Blanc grape variety.,0,0,0,0,0,0,0,0,,,Completely incorrect pattern
f3606b6a-a72c-4b90-98f7-cbdc8e164a1a,WB-GRP-0620-L3,scenario_synthesis,llama,grape_varieties,1,application,A US winemaker is deciding which grape varieties to plant in a new vineyard block. They want to experiment with lesser-known varieties that are still approved for use on US wine labels. Which of these varieties would be a viable option for their new planting?,"[{'id': 'A', 'text': 'Pinotage'}, {'id': 'B', 'text': 'Souzão'}, {'id': 'C', 'text': 'Tempranillo'}, {'id': 'D', 'text': 'Xinomavro'}]",B,"[1] Alicante Bouschet is an approved grape variety name for use on US wine labels per TTB regulations.
---
[2] Souzão is an approved grape variety name for use on US wine labels per TTB regulations.
---
[3] Freisa is an approved grape variety name for use on US wine labels per TTB regulations.",1,1,1,1,1,1,1,1,,,
171780ee-7b89-4543-9bf8-488c9b12ea94,WB-VIT-0480-L4,scenario_synthesis,llama,viticulture,4,analysis,A vineyard manager wants to reduce the number of weed seeds in the soil of their organic vineyard. In what order should they apply the following treatments to most effectively achieve this goal?,"[{'id': 'A', 'text': 'Apply mulch followed by tillage'}, {'id': 'B', 'text': 'Tillage followed by irrigation'}, {'id': 'C', 'text': 'Irrigation followed by tillage'}, {'id': 'D', 'text': 'Apply mulch followed by irrigation'}]",C,"[1] Apply products as directed sprays to the base of woody stems and trunks.
---
[2] A summer fallow treatment of irrigation (to encourage weed seed germination) followed by tillage (to uproot newly emerged weed seedlings) will desiccate weeds and reduce the number of weed seeds in the soil.
---
[3] Organic mulches breakdown with time and the original thickness is typically reduced by 60% after one year.",1,1,1,1,1,1,1,1,,,
9c201c9e-77de-411c-8fc6-697ef9ddfbb8,WB-VIT-0474-L4,distractor_mining,llama,viticulture,4,analysis,Which Hungarian wine region spans 832 hectares and is located in Veszprém county?,"[{'id': 'A', 'text': 'Kékfrankos'}, {'id': 'B', 'text': 'Tokaj'}, {'id': 'C', 'text': 'Somló'}, {'id': 'D', 'text': 'Eger'}]",C,"[1] == The Eger wine region ==
The some 5400 hectares of vineyards of the Eger wine region is located on the southern slopes of the Bükk Mountains .
---
[2] Somló (German: Schomlau, the corresponding adjective, meaning of Somló as in wines of Somló in Hungarian is: somlói) is an 832 hectare wine region in Veszprém county.
---
[3] In Italy, the grape is known as Franconia Nera, with 127 hectares (310 acres) planted mostly in the Friuli-Venezia Giulia wine regions of the Friuli Isonzo and Friuli Latisana Denominazione.
---
[4] Slavic peoples (Slovaks and Rusyns) are also documented as being involved in Tokaj viticulture by the 12th century.
---
[5] In 1976, John Williams of Kiona Vineyard in what is now the Red Mountain AVA planted a few hectares that would be used in 1980 to make the first commercial.
---
[6] The location of the region has a unique climate, beneficial to this particular viniculture, due to the protection of the nearby mountains.",1,1,1,1,1,1,1,1,,,
