uuid,qid,difficulty,stem,gold,sonnet_answer,sonnet_confidence,sonnet_reasoning,matched,similarity,haiku_matched,haiku_confidence,b2_severity,ok,latency_ms,input_tokens,output_tokens,error
4db5db8e-369d-41d9-a4fa-4e2eb90d2a91,WB-WMK-0202-L2,2,Which wine region requires a minimum alcohol content between 11% and 12%?,Schilcherland DAC,Bordeaux,0.45,"Many French AOC regions require minimum alcohol levels in the 11-12% range, with Bordeaux reds typically requiring around 11% minimum, though without a specific single region being clearly distinguished by this exact threshold, this is a best guess among several candidates including Burgundy and Rhône appellations.",False,0.24,False,0.35,pass,True,3110,138,102,
2d262e16-3fae-47df-908c-d1aad03df7e2,WB-GRP-0247-L2,2,"When comparing the authorized viticultural plantings of two distinct American regions, which pair of grapes correctly represents a variety approved for cultivation within Sonoita's boundaries and one allowed throughout the Indiana Uplands region, respectively?",Cabernet Franc and Traminette,Sonoita: Malvasia Bianca; Indiana Uplands: Chambourcin,0.35,"Sonoita AVA in Arizona permits a range of warm-climate varieties including Malvasia Bianca, while the Indiana Uplands AVA (established 2013) is known for cold-hardy and hybrid varieties like Chambourcin, but I have low confidence in the specific authorized variety lists for these two relatively obscure AVAs.",False,0.361,False,0.2,pass,True,4701,168,130,
10607bb0-2a21-49ff-bbf9-ec55295fc5d0,WB-WMK-0207-L2,2,"One of these appellations must spend at least 24 months on its lees, while the other cannot be released as Riserva until a minimum of 4 years counted from January 1 after harvest. Which option matches those two aging rules correctly?",Franciacorta Satèn = 24 months on lees; Amarone della Valpolicella Riserva = 4 years from January 1 after harvest,Franciacorta (24 months on lees for non-vintage) and Barolo Riserva (4 years from January 1 after harvest),0.72,"Franciacorta DOCG requires a minimum of 24 months on lees for its non-vintage sparkling wines, while Barolo Riserva DOCG requires a minimum of 5 years total aging (counted from January 1 of the harvest year), though Brunello di Montalcino Riserva requires release no earlier than 6 years from January 1 after harvest — the 4-year rule more closely matches Amarone della Valpolicella Riserva or possibly Taurasi Riserva, so the pairing is likely Franciacorta (24 months lees) and Taurasi Riserva (4 years from January 1 after harvest).",True,0.78,True,0.75,warn,True,4995,176,235,
379b2a8b-ae5d-4d56-8f32-156c9c2f15e8,WB-WMK-0206-L2,2,"One of these appellations is defined by three release styles—fully sparkling, lightly sparkling, and still—while the other is identified by a rule requiring at least 12.5% alcohol and a minimum of one year before release. Which pairing matches those classification details correctly?",Prosecco DOC = three styles; Valpolicella Ripasso DOC Superiore = at least 12.5% alcohol and one year of aging,"Vinho Verde (three release styles: fully sparkling, lightly sparkling, and still) and Brunello di Montalcino (minimum 12.5% alcohol and at least one year before release — though more precisely Brunello requires longer aging, this pairing best fits the described rules)",0.35,"Vinho Verde is well known for encompassing still, slightly sparkling (petillant), and fully sparkling styles, but I am not confident about which specific appellation requires exactly 12.5% minimum alcohol with a one-year minimum release rule, as many appellations have similar requirements and I cannot pinpoint the exact match without risking error.",False,0.361,False,0.65,warn,True,5510,180,173,
a5ad7dda-79cb-4aaf-99b5-a51fc0ccdc16,WB-WMK-0209-L2,2,A central Italian DOCG requires that its 'Classico' designated wines cannot be released to market before 1 October of the year following the harvest. Which appellation imposes this specific aging/release rule?,Chianti,Morellino di Scansano DOCG,0.35,"Several central Italian DOCGs have Classico release date rules, but I am not confident enough to pinpoint which specific one mandates 1 October of the year following harvest — Morellino di Scansano is a candidate, though Montepulciano d'Abruzzo or Vernaccia di San Gimignano could also apply, and my uncertainty is high.",False,0.182,False,0.35,warn,True,3255,167,131,
827ab27c-46ac-4978-aa8d-7ba016330219,WB-VIT-0202-L2,2,Which AVA has a climate that is cooler in the summer and warmer in the winter compared to regions to the east?,Dos Rios AVA,Willamette Valley,0.45,"Coastal-influenced AVAs like Willamette Valley in Oregon experience maritime moderation — cooler summers and milder winters compared to inland regions to the east — due to Pacific Ocean influence, though this question may specifically refer to a California AVA such as Sonoma Coast or Santa Barbara where marine influence similarly moderates temperatures relative to warmer inland valleys.",False,0.276,False,0.6,pass,True,6623,147,113,
0e125808-71e4-4313-966d-0dcf206f968c,WB-GRP-0248-L2,2,"When mapping the approved cultivation of Albariño and Carignane to their respective viticultural areas, which of the following accurately describes their authorization?","Albariño is an approved cultivar for San Luis Rey AVA, while Carignane is authorized in Carmel Valley AVA.","Albariño is approved for cultivation in the North Coast AVA (and its sub-AVAs), while Carignane is more broadly approved across multiple California viticultural areas including the Central Valley and North Coast regions, reflecting Carignane's historical widespread planting in California versus Albariño's more restricted, recently authorized zones.",0.35,"This question likely refers to specific TTB-approved grape variety lists tied to particular AVAs under 27 CFR Part 9, and without access to the exact regulatory text mapping each variety to its authorized viticultural areas, I can only offer a general characterization based on known planting history, which may not match the precise regulatory answer being sought.",False,0.317,False,0.72,pass,True,7530,153,178,
f66bcd46-24bc-45ec-8203-042729aa532b,WB-GRP-0223-L2,2,Which of the following light-skinned grape varieties is predominantly cultivated within the Treviso province of northeastern Italy's Veneto region?,Verdiso,Glera,0.92,"Glera is the primary white grape variety cultivated in the Treviso province of Veneto, where it forms the basis of Prosecco DOC and Conegliano Valdobbiadene Prosecco DOCG wines.",False,0.333,False,0.72,warn,True,3010,151,92,
4d76e91f-ae66-4507-9769-5668fa636e16,WB-REG-0216-L2,2,Which grape variety is permitted for white wine production under the Chablis Grand Cru AOC?,Chardonnay,Chardonnay,0.99,"Chablis Grand Cru AOC, like all Chablis appellations, exclusively permits Chardonnay (locally sometimes called Beaunois) for white wine production, as it is a Burgundy appellation governed by strict varietal rules.",True,1.0,True,0.95,fail,True,3152,143,96,
ca3fce2e-3c91-4391-979f-f06218f065c7,WB-REG-0180-L1,1,"A buyer is routing a shipment of Diamond Mountain District AVA wine. Based on the fact, which US state is the origin?",California,California,0.99,"Diamond Mountain District is a well-known AVA located in Napa Valley, California, established in 2001 on the western slopes of the Mayacamas Mountains.",True,1.0,True,0.95,fail,True,2435,148,72,
