uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
145fad2d-f613-471a-a05d-7a6f0c1c8df0,WB-PRD-0801-L1,template,template_only,producers,1,recall,Name the wine region where Château Marquis d'Alesme Becker is found.,"[{'id': 'A', 'text': 'Vouvray'}, {'id': 'B', 'text': 'France'}, {'id': 'C', 'text': 'Gauthier'}, {'id': 'D', 'text': 'Nice'}]",B,[1] Château Marquis d'Alesme Becker is a wine producer located in France.,,,,,,,,,,,
0956adf4-ae65-46ba-aaf7-0c589d612ae1,WB-REG-1408-L4,template,template_only,wine_regions,4,comprehension,"In which county is the Mount Pisgah, Polk County, Oregon AVA located, according to the source fact?","[{'id': 'A', 'text': 'Grant'}, {'id': 'B', 'text': 'Benton'}, {'id': 'C', 'text': 'Lake'}, {'id': 'D', 'text': 'Polk'}]",D,"[1] Mount Pisgah, Polk County, Oregon AVA is located in Polk County.",,,,,,,,,,,
9fdc9aba-c7c0-4532-ad37-a3291990542d,WB-GRP-1210-L2,comparative,gemini,grape_varieties,2,analysis,"Which California winegrowing area yields upwards of 40,000 tons of fruit annually, yet sees ninety percent of its harvest vinified at facilities situated outside its own boundaries?","[{'id': 'A', 'text': 'Lodi AVA'}, {'id': 'B', 'text': 'Sonoma County'}, {'id': 'C', 'text': 'Clarksburg AVA'}, {'id': 'D', 'text': 'Napa Valley AVA'}]",C,"[1] Sonoma County is one of California's largest producers of wine grapes, far outproducing the Napa Valley AVA.
---
[2] While the Clarksburg appellation produces over 40,000 tons of grapes annually, 90% of the grapes grown in the AVA are processed in winery facilities located elsewhere in California.",,,,,,,,,,,
b6d3f275-e126-425f-9d58-fc354210a7b2,WB-PRD-0845-L2,template,template_only,producers,2,recall,"True or False: Pemberton's French Wine Coca, a producer, is located within a United States wine region.","[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Pemberton's French Wine Coca is a wine producer located in United States.,,,,,,,,,,,
4205f51f-e3f9-40f3-af73-61a3dc9e0737,WB-PRD-0824-L3,template,template_only,producers,3,recall,Indicate True or False: Mas de Daumas Gassac operates in the Aniane wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Mas de Daumas Gassac is a wine producer located in Aniane.,,,,,,,,,,,
e7b25d0a-435a-469f-94cc-ef8511963c6f,WB-GRP-1029-L2,comparative,llama,grape_varieties,1,analysis,Which white grape variety is grown in Galicia in northwest Spain and in the Monção and Melgaço regions of Northwest Portugal?,"[{'id': 'A', 'text': 'Cayetana Blanca'}, {'id': 'B', 'text': 'Albariño'}, {'id': 'C', 'text': 'Godello'}, {'id': 'D', 'text': 'Verdejo'}]",B,"[1] Albariño (Galician pronunciation: [alβaˈɾiɲʊ]) or Alvarinho (Portuguese pronunciation: [alvɐˈɾiɲu]) is a variety of white wine grape grown in Galicia (northwest Spain) and in Northwest Portugal (Monção and Melgaço.
---
[2] Cayetana Blanca was the third most planted white grape variety in Spain, with 39,919 ha (98,640 acres) in 2015.",,,,,,,,,,,
c3349f19-e83c-4eb7-8262-3eefbeb302b4,WB-GRP-0856-L2,comparative,chatgpt,grape_varieties,1,analysis,"Which wine region is identified by the rule that its wine must contain between three-quarters and all of the blend as Sangiovese, a standard in place since the mid-1990s?","[{'id': 'A', 'text': 'Valpolicella'}, {'id': 'B', 'text': 'Chianti Classico'}, {'id': 'C', 'text': 'Valpolicella Classico'}, {'id': 'D', 'text': 'Chianti'}]",D,"[1] The most favorably situated vineyards are located in the Monti Lessini foothills in the classico zone where the grapes ripen at altitudes between 490 to 1,500 feet (150–460 metres).
---
[2] == Grapes and classification == Since 1996 the blend for Chianti and Chianti Classico has been 75–100% Sangiovese.",,,,,,,,,,,
37674cb4-ed81-466e-a18f-c5b5e275537c,WB-PRD-0711-L3,distractor_mining,qwen,producers,1,analysis,"This Spanish wine estate is situated in the Aragón region and operates as a sub-unit of a larger winemaking property, sharing its name with the parent estate but functioning as a distinct viticultural entity. It is not located in Andalusia, Catalonia, or the Valencian Community, and is specifically tied to a single named finca rather than operating under a municipal or geographic designation. Which estate matches this description?","[{'id': 'A', 'text': 'Pago Aylés'}, {'id': 'B', 'text': 'Winery of Mamerto de la Vara'}, {'id': 'C', 'text': 'wine and salt interpretation center'}, {'id': 'D', 'text': 'Celler Cuscó Berga'}]",A,"[1] Cilla del Cabildo is a wine producer in Sanlúcar la Mayor, Spain.
---
[2] Celler Cuscó Berga is a wine producer in Avinyonet del Penedès, Spain.
---
[3] wine and salt interpretation center is a wine producer in Chiclana de la Frontera, Spain.
---
[4] Winery of Mamerto de la Vara winery is located in Valencia, Spain.
---
[5] Pago Aylés is a branch of Finca Aylés, a Spanish winery in Aragón, Spain.",,,,,,,,,,,
5dbaf576-5722-48be-841a-d735d85edc09,WB-REG-0899-L2,comparative,chatgpt,wine_regions,2,analysis,"Two French appellations differ in their rule for minimum alcohol level: one sets 11.0% for its white wines, while the other sets 12.0% for its red wines. Which pairing matches those thresholds correctly?","[{'id': 'A', 'text': 'Vouvray = 12.0% minimum for reds; Minervois = 11.0% minimum for whites'}, {'id': 'B', 'text': 'Vouvray = 11.0% minimum for whites; Minervois = 12.0% minimum for reds'}, {'id': 'C', 'text': 'Vouvray = 11.0% minimum for reds; Minervois = 12.0% minimum for whites'}, {'id': 'D', 'text': 'Vouvray = 12.0% minimum for whites; Minervois = 11.0% minimum for reds'}]",B,"[1] Vouvray AOC requires a minimum alcohol content of 11.0% for white wines.
---
[2] Minervois AOC requires a minimum alcohol content of 12.0% for red wines.",,,,,,,,,,,
4c334d20-d6b6-451d-9d7b-b43e9de37577,WB-VIT-0825-L2,scenario_synthesis,gemini,viticulture,2,application,"An estate manager in a region threatened by Pierce's disease is updating their integrated pest management protocol for the primary vector. Currently, the vineyard team relies solely on sticky traps within the vine rows to track the pest, and they apply mid-summer chemical sprays directly to the vine canopy. Based on established vector management guidelines, how should the manager adjust this protocol to better control the disease's incidence?","[{'id': 'A', 'text': 'Implement manual scouting for eggs, nymphs, and mature bugs alongside traps, while targeting chemical controls at bordering vegetation during the initial spring months.'}, {'id': 'B', 'text': 'Add visual scouting exclusively for egg masses, and maintain mid-summer treatments within the vineyard to eradicate the vector after it has migrated.'}, {'id': 'C', 'text': 'Abandon trap networks in favor of visual canopy checks, and restrict early spring chemical applications strictly to the vine rows to prevent vector immigration.'}, {'id': 'D', 'text': 'Maintain the current trap-only monitoring system, but shift chemical applications to neighboring properties during late autumn to eliminate overwintering populations.'}]",A,"[1] Insecticide treatments aimed at controlling the vector in areas adjacent to the vineyard have reduced the incidence of Pierce's disease by reducing the numbers of sharpshooters immigrating into the vineyards in early spring.
---
[2] Glassy-Winged Sharpshooter In addition to trap monitoring, do visual searching to monitor for eggs, nymphs, and adults.
---
[3] Management Insecticide treatments aimed at controlling the vector in areas adjacent to the vineyard have reduced the incidence of Pierce's disease by reducing the numbers of sharpshooters immigrating into the vineyards in early spring.",,,,,,,,,,,
