uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_fact,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,notes
ef074428-4961-4ed6-8ee3-88284ac3089e,WB-BIZ-0051-L2,scenario_synthesis,claude,wine_business,2,synthesis,"A winemaker operating a small estate in the Slovak portion of the Tokaj region is preparing to bottle an aszú-style wine for export to the EU market. Her compliance officer notes that, although the estate lies across the border from the main Hungarian production zone, the vineyards fall within a historically protected district first delimited by royal decree in the 18th century. She wants to understand what production standards she must meet to legally label the wine as 'Tokaj' under current EU rules. Which of the following best describes her regulatory situation?","[{'id': 'A', 'text': 'Because the estate is in Slovakia, only Slovak national wine law applies, and Hungarian Tokaj standards are irrelevant to her labeling.'}, {'id': 'B', 'text': 'She may use the Tokaj name only if she exports exclusively to Hungary, since the cross-border designation is not recognized under EU legislation.'}, {'id': 'C', 'text': 'The 18th-century royal decree has been superseded entirely by EU legislation, so the historic district boundaries no longer affect which producers may use the Tokaj name.'}, {'id': 'D', 'text': 'The Tokaj region is recognized by the EU as spanning both Hungary and Slovakia, and the Slovak portion must adhere to the same standards established in Hungarian wine laws since 1990.'}]",D,Tokaj wine region was to introduce the same standards enshrined in Hungarian wine laws since 1990.,,,,,,,,,
790de202-bff7-41a9-9cf0-aed2a3c7c474,WB-PRD-0047-L3,comparative,llama,producers,3,analysis,A winery was established in Israel by a family who immigrated from England in the 1990s. This winery is located in which region?,"[{'id': 'A', 'text': 'Golan Heights Winery'}, {'id': 'B', 'text': 'Carmel Winery'}, {'id': 'C', 'text': 'Dalton Winery'}, {'id': 'D', 'text': 'Yarden Winery'}]",C,The Dalton Winery (Hebrew: יקב דלתון) was founded in 1995 by members of the Haruni family who moved to Israel from England.,,,,,,,,,
49c6d892-27bf-4e06-842d-7723d4d8922a,WB-GRP-0013-L2,template,template_only,grape_varieties,2,recall,Which country is considered the origin of the Malbec grape?,"[{'id': 'A', 'text': 'Spain'}, {'id': 'B', 'text': 'Argentina'}, {'id': 'C', 'text': 'New Zealand'}, {'id': 'D', 'text': 'Australia'}]",B,Malbec is a widely reviewed grape variety in Argentina.,,,,,,,,,
2726b50b-7b72-4bc1-8a27-0c54c56b74fc,WB-PRD-0027-L2,fact_to_question,claude,producers,2,recall,"Château Labégorce Zédé, formed from the historical estates of Château Labégorce-Margaux and Château Labégorce-Zédé, is located in which Médoc commune?","[{'id': 'A', 'text': 'Pauillac'}, {'id': 'B', 'text': 'Margaux'}, {'id': 'C', 'text': 'Saint-Estèphe'}, {'id': 'D', 'text': 'Saint-Julien'}]",B,Château Labégorce Zédé of what was formerly known separately as Château Labégorce-Margaux and Château Labégorce-Zédé lies in the commune of Margaux in the Médoc region in the département of Gironde.,,,,,,,,,
aeaf8ad0-7714-45d1-878a-c686adae8caf,WB-VIT-0028-L3,comparative,llama,viticulture,3,analysis,"Which AVA is characterized by predominantly rolling hills with sandy soils and contains a single large vineyard spanning 5,000 acres?","[{'id': 'A', 'text': 'Santa Lucia Highlands AVA'}, {'id': 'B', 'text': 'Santa Cruz Mountains AVA'}, {'id': 'C', 'text': 'Central Coast AVA'}, {'id': 'D', 'text': 'San Bernabe AVA'}]",D,"San Bernabe viticultural area encompasses 24,796 acres (39 sq mi) of
predominantly rolling hills with sandy soils with currently 5,000 acres (2,023 ha) of cultivation on its sole vineyard.",,,,,,,,,
eef82698-07eb-4951-aa03-36a2e832d36f,WB-GRP-0042-L3,comparative,llama,grape_varieties,3,analysis,A winemaker wants to produce a varietal Cabernet Franc and a varietal Chardonnay. Which AVA allows them to grow and label both as single-varietal wines?,"[{'id': 'A', 'text': 'North Coast AVA'}, {'id': 'B', 'text': 'Both Temecula Valley AVA and North Coast AVA'}, {'id': 'C', 'text': 'Temecula Valley AVA'}, {'id': 'D', 'text': 'Neither Temecula Valley AVA nor North Coast AVA'}]",D,Temecula Valley AVA permits the Cabernet Franc grape variety.,,,,,,,,,
50094bac-aaff-45b3-9d6f-08da28a5ad4d,WB-BIZ-0013-L2,fact_to_question,gemini,wine_business,2,recall,Which vintage of Dom Pérignon set the world auction record for a single lot of champagne and became the first HK$1 million lot of wine sold by Sotheby's?,"[{'id': 'A', 'text': '1990'}, {'id': 'B', 'text': '1996'}, {'id': 'C', 'text': '1992'}, {'id': 'D', 'text': '1988'}]",A,"Dom Pérignon 1990 achieved HK$1,331,000 (US$170,641), setting the world auction record for a single lot of champagne and is the first HK$1 million lot of wine Sotheby's has sold in.",,,,,,,,,
2164ca73-1e71-426e-8ec8-504d82daf946,WB-VIT-0074-L3,distractor_mining,qwen,viticulture,3,analysis,"Which vineyard practice, when intensified, has been shown to increase the number of buds retained on the vine to as many as 40, but also leads to a higher percentage of blind buds and reduced shoot length?","[{'id': 'A', 'text': 'Use of the Geneva double curtain trellis system'}, {'id': 'B', 'text': 'Leaf removal during canopy management'}, {'id': 'C', 'text': 'High bud count pruning'}, {'id': 'D', 'text': 'Extended maceration with wood chips from vine shoots'}]",C,"The Geneva double curtain or ""T"" trellis may be used for more vigorous cultivars.",,,,,,,,,
c76df7c6-fc23-4953-ae48-d144df8a4baf,WB-PRD-0080-L4,distractor_mining,gemini,producers,4,analysis,"While many German wine estates have historic underground facilities, one particular estate features a cellar whose appearance is uniquely reminiscent of a stalactite cave, though it remains ideally suited for wine storage. Which estate is this?","[{'id': 'A', 'text': 'Schloss Westerhaus'}, {'id': 'B', 'text': 'Karl Schaefer'}, {'id': 'C', 'text': 'Baron Knyphausen'}, {'id': 'D', 'text': 'Weingut Joh. Jos. Prüm'}]",A,"Prüm is a German wine grower and producer based in Bernkastel-Wehlen, in the wine-growing region of Mosel, Germany.",,,,,,,,,
da4c51b4-12c3-4886-879d-489ed52187ca,WB-VIT-0017-L2,fact_to_question,chatgpt,viticulture,2,recall,Which pair of grapevine phenological stages was highlighted as being commonly misclassified because of their visual similarity?,"[{'id': 'A', 'text': 'Fruit set and dormancy'}, {'id': 'B', 'text': 'Budburst and véraison'}, {'id': 'C', 'text': 'Flowering and harvest'}, {'id': 'D', 'text': 'Early shoot development and flowering'}]",D,"A confusion matrix analysis highlighted misclassification trends, particularly between early shoot development and flowering, due to their visual similarities.",,,,,,,,,
