uuid,public_qid,strategy,generator,domain,difficulty,cognitive_dim,question_text,options,correct_answer,source_facts,answer_correct,distractors_plausible,not_ambiguous,source_faithful,needs_source,no_vague_language,difficulty_match,cognitive_match,verbatim_copy,wine_category_leak,notes
09bb6152-d0e0-4c3c-9501-5e910cb79d59,WB-PRD-0463-L1,template,template_only,producers,1,application,A wine writer placing Page Springs on a country-by-country map turns to the fact. Which country is specified?,"[{'id': 'A', 'text': 'Canada'}, {'id': 'B', 'text': 'US'}, {'id': 'C', 'text': 'Austria'}, {'id': 'D', 'text': 'China'}]",B,[1] Page Springs is a wine producer in the Arizona region of US.,1,1,1,1,1,1,1,1,,,
01b6fc7a-dfc6-40b0-9d23-0d8f279f42fe,WB-GRP-0713-L3,template,template_only,grape_varieties,3,application,A vigneron plans to plant 55% white varieties in a region known for this practice. Which of the following regions has a documented history of cultivating white varieties at this proportion?,"[{'id': 'A', 'text': 'Georgian wine'}, {'id': 'B', 'text': 'Primitivo'}, {'id': 'C', 'text': 'Lazio wine region'}, {'id': 'D', 'text': 'Argentine wine'}]",C,[1] Lazio wine region permits the 55% white varieties grape variety.,0,1,0,0,1,0,1,1,,,
d3706162-e47a-485f-a364-0088f80f57c9,WB-PRD-0464-L2,template,template_only,producers,2,recall,True or False: Château Tertre Daugay is located in the Saint-Émilion wine region.,"[{'id': 'A', 'text': 'True'}, {'id': 'B', 'text': 'False'}]",A,[1] Château Tertre Daugay is a classified Bordeaux estate in Saint-Émilion.,1,1,1,1,1,1,1,1,,,
fde710d8-67c0-4499-97c7-03118c43b9f6,WB-REG-0570-L4,template,template_only,wine_regions,4,comprehension,Which county or counties comprise the Southern Oregon AVA?,"[{'id': 'A', 'text': 'Delta'}, {'id': 'B', 'text': 'Douglas|Jackson|Josephine'}, {'id': 'C', 'text': 'Grant'}, {'id': 'D', 'text': 'Douglas|Grant|Kittitas'}]",B,[1] Southern Oregon AVA is located in Douglas|Jackson|Josephine County.,1,1,1,1,1,1,1,1,,,
3021e00f-8fb7-4a6c-8c55-fac1dc0d74e7,WB-GRP-0714-L4,template,template_only,grape_varieties,4,comprehension,"According to the information provided, which wine region is associated with the production of 457?","[{'id': 'A', 'text': 'New Zealand wine'}, {'id': 'B', 'text': 'Western Cape wine'}, {'id': 'C', 'text': 'Mount Benson wine region'}, {'id': 'D', 'text': 'Greek wine'}]",A,[1] New Zealand wine permits the 457 grape variety.,0,0,0,0,0,0,0,0,,,Completely incorrect
0b758e9a-9cb7-4058-82ca-3803efa1e075,WB-REG-0567-L1,template,template_only,wine_regions,1,comprehension,"According to the fact, in which US state is the The Burn of Columbia Valley AVA located?","[{'id': 'A', 'text': 'Arizona'}, {'id': 'B', 'text': 'Wisconsin'}, {'id': 'C', 'text': 'Washington'}, {'id': 'D', 'text': 'California'}]",C,[1] The The Burn of Columbia Valley AVA was established in 2021 in Washington.,1,1,1,1,1,1,1,1,,,
6f5bb135-9f3f-487e-b466-be10df0a1fa4,WB-REG-0568-L1,template,template_only,wine_regions,1,application,"An importer purchasing The Burn of Columbia Valley AVA wines is confirming the US state of origin for customs paperwork. Per the fact, which state should appear on the form?","[{'id': 'A', 'text': 'Washington'}, {'id': 'B', 'text': 'Wisconsin'}, {'id': 'C', 'text': 'California'}, {'id': 'D', 'text': 'Arizona'}]",A,[1] The The Burn of Columbia Valley AVA was established in 2021 in Washington.,1,1,1,1,1,1,1,1,,,
4ed16e8f-164f-4d71-a60d-fa3b4f758d2b,WB-REG-0569-L3,template,template_only,wine_regions,1,recall,Which region of origin is Rosazzo part of?,"[{'id': 'A', 'text': 'Friuli Venezia Giulia'}, {'id': 'B', 'text': 'Burgundy wine'}, {'id': 'C', 'text': 'Wachau wine'}, {'id': 'D', 'text': 'Super Tuscan'}]",A,[1] Rosazzo is a DOCG appellation in the Friuli Venezia Giulia region of Italy.,1,1,1,1,1,1,1,1,,,
6ac7ae85-ae35-4e64-b85c-cf1734559ab5,WB-PRD-0462-L1,template,template_only,producers,1,comprehension,"Based on the fact, in which country is the producer Page Springs based?","[{'id': 'A', 'text': 'Austria'}, {'id': 'B', 'text': 'US'}, {'id': 'C', 'text': 'Canada'}, {'id': 'D', 'text': 'China'}]",B,[1] Page Springs is a wine producer in the Arizona region of US.,1,1,1,1,1,1,1,1,,,
b941d45c-6b3d-4380-82b3-61bf45713a2d,WB-PRD-0468-L1,template,template_only,producers,1,recall,Where can you find French Camp Vineyards?,"[{'id': 'A', 'text': 'Marlborough District'}, {'id': 'B', 'text': 'Paso Robles'}, {'id': 'C', 'text': 'United States'}, {'id': 'D', 'text': 'Mount Benson wine region'}]",C,[1] French Camp Vineyards is a wine producer located in United States.,1,1,1,1,1,1,1,1,,,
